frame,x,y
0,113,376
1,114,376
2,113,376
3,115,378
4,114,377
5,113,376
6,114,377
7,112,375
8,112,375
9,113,376
10,112,376
11,111,377
12,114,379
13,113,378
14,116,379
15,116,379
16,117,378
17,116,378
18,119,380
19,119,379
20,120,380
21,120,378
22,120,378
23,118,375
24,117,371
25,117,371
26,116,369
27,117,362
28,115,355
29,117,349
30,114,340
31,113,332
32,111,321
33,111,311
34,109,299
35,106,284
36,106,284
37,101,269
38,101,257
39,93,227
40,90,213
41,86,199
42,86,187
43,83,172
44,81,160
45,78,147
46,78,147
47,77,134
48,77,123
49,77,111
50,81,102
51,81,81
52,82,75
53,83,70
54,82,66
55,83,64
56,84,63
57,84,63
58,82,62
59,85,62
60,88,63
61,95,64
62,100,62
63,125,64
64,137,63
65,152,63
66,167,64
67,167,64
68,181,64
69,196,65
70,211,66
71,224,67
72,238,68
73,251,68
74,265,69
75,293,72
76,305,71
77,321,72
78,321,72
79,336,74
80,353,76
81,367,76
82,383,78
83,395,76
84,408,76
85,421,76
86,433,76
87,453,73
88,453,73
89,462,72
90,471,74
91,480,75
92,486,73
93,492,74
94,498,73
95,503,73
96,508,72
97,512,72
98,516,73
99,521,73
100,527,74
101,528,72
102,541,56
103,530,72
104,530,72
105,533,80
106,532,82
107,533,90
108,530,96
109,528,101
110,541,101
111,526,124
112,526,136
113,525,148
114,528,163
115,523,173
116,524,188
117,522,198
118,524,213
119,520,221
120,522,235
121,520,244
122,518,252
123,519,265
124,519,274
125,520,284
126,519,292
127,521,304
128,520,309
129,520,318
130,522,327
131,523,337
132,524,346
133,525,355
134,527,366
135,530,377
136,532,387
137,535,394
138,537,401
139,538,408
140,537,410
141,535,409
142,535,409
143,531,411
144,525,409
145,519,407
146,509,407
147,499,405
148,488,403
149,478,405
150,463,400
151,451,396
152,439,394
153,425,390
154,410,385
155,398,382
156,386,381
157,373,378
158,362,378
159,349,375
160,336,373
161,324,371
162,313,372
163,302,372
164,288,367
165,277,368
166,267,369
167,256,368
168,244,368
169,233,368
170,223,368
171,212,369
172,201,370
173,191,372
174,179,371
175,170,373
176,159,374
177,149,377
178,135,376
179,126,379
180,120,382
181,112,381
182,109,383
183,105,382
184,104,381
185,103,378
186,103,375
187,102,368
188,102,361
189,102,354
190,103,346
191,102,339
192,99,327
193,99,319
194,99,319
195,98,301
196,97,291
197,95,280
198,92,268
199,90,258
200,87,247
201,85,237
202,82,225
203,79,214
204,78,203
205,78,203
206,76,193
207,73,171
208,73,160
209,74,151
210,71,140
211,72,132
212,71,122
213,70,113
214,68,103
215,68,103
216,68,95
217,64,84
218,60,73
219,59,58
220,57,51
221,63,51
222,66,49
223,73,50
224,84,53
225,92,53
226,92,53
227,102,54
228,114,55
229,125,54
230,137,55
231,161,54
232,175,53
233,190,56
234,203,55
235,218,56
236,218,56
237,230,56
238,244,57
239,258,58
240,270,59
241,283,59
242,297,60
243,321,60
244,334,62
245,347,62
246,360,64
247,360,64
248,372,64
249,382,64
250,395,65
251,408,66
252,417,64
253,429,66
254,440,67
255,459,67
256,467,66
257,467,66
258,477,66
259,486,66
260,493,62
261,504,68
262,511,68
263,518,69
264,522,68
265,527,71
266,530,72
267,531,75
268,531,75
269,533,81
270,532,84
271,532,89
272,531,95
273,529,101
274,530,112
275,529,122
276,528,126
277,530,145
278,532,159
279,528,164
280,529,178
281,529,190
282,530,201
283,530,213
284,530,223
285,532,234
286,535,246
287,536,256
288,538,267
289,538,275
290,538,284
291,540,294
292,542,304
293,542,313
294,542,322
295,543,333
296,543,341
297,542,349
298,541,356
299,540,361
300,539,366
301,540,374
302,542,382
303,546,391
304,548,394
305,548,398
306,547,402
307,541,399
308,535,397
309,526,397
310,517,397
311,505,396
312,492,393
313,478,395
314,464,392
315,447,390
316,433,392
317,414,386
318,398,385
319,380,380
320,364,378
321,347,374
322,330,369
323,315,365
324,302,365
325,287,362
326,274,362
327,259,360
328,245,359
329,229,356
330,219,359
331,206,360
332,190,358
333,181,362
334,169,363
335,158,365
336,146,364
337,138,370
338,129,374
339,120,378
340,109,380
341,104,384
342,101,386
343,100,388
344,100,387
345,103,388
346,104,386
347,103,385
348,102,383
349,102,383
350,102,383
351,103,384
352,103,385
